"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 05:37:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:36:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 05:34:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1262
"2013-09-01 05:34:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:34:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 05:33:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1128
"2013-09-01 05:32:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 05:31:00","Concurrency","library cache: mutex X","READ","5819:17159","app12-host","Module1","SOFT PARSE","",31
"2013-09-01 05:31:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",2
"2013-09-01 04:14:00","ON CPU","ON CPU","READ","","app4-host","Module6","CONNECTION","x9gb88kvnbaff",1
"2013-09-01 04:00:00","Concurrency","library cache: mutex X","WRITE","","app1-host","Module1","SQL EXEC","x3h7brnxgbv0z",1
"2013-09-01 03:26:00","ON CPU","ON CPU","WRITE","","app1-host","Module1","SQL EXEC","x3h7brnxgbv0z",2
"2013-09-01 03:20:00","Concurrency","library cache: mutex X","READ","","app1-host","Module1","SQL EXEC","1t4fgc99cz5bv",1
"2013-09-01 03:12:00","Concurrency","library cache: mutex X","READ","","app1-host","Module5","CONNECTION","ubca22r2m5cz8",1
"2013-09-01 04:50:00","Concurrency","cursor: pin S wait on X","READ","7580:64855","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",3
"2013-09-01 08:47:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","r6s6bb38ys13x",1
"2013-09-01 08:50:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","hs4w8ht3bfruf",1
"2013-09-01 08:43:00","ON CPU","ON CPU","READ","","app1-host","Module1","NONE","",1
"2013-09-01 08:45:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","xnu709y6swrnj",2
